cases;deaths;countriesAndTerritories;continentExp;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
15;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Afghanistan;Asia;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;1;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;
0;0;Algeria;Africa;
0;0;Armenia;Europe;
0;0;Australia;Oceania;
0;0;Austria;Europe;
0;0;Azerbaijan;Europe;
0;0;Bahrain;Asia;
0;0;Belarus;Europe;
0;0;Belgium;Europe;
0;0;Brazil;America;
0;0;Cambodia;Asia;
0;0;Canada;America;
0;0;Japan;Other;
0;0;China;Asia;
0;0;Croatia;Europe;
0;0;Czechia;Europe;
0;0;Denmark;Europe;
0;0;Dominican Republic;America;
0;0;Ecuador;America;
0;0;Egypt;Africa;
0;0;Estonia;Europe;
0;0;Finland;Europe;
0;0;France;Europe;
0;0;Georgia;Europe;
0;0;Germany;Europe;
0;0;Greece;Europe;
0;0;Iceland;Europe;
0;0;India;Asia;
0;0;Indonesia;Asia;
0;0;Iran;Asia;
0;0;Iraq;Asia;
0;0;Ireland;Europe;
0;0;Israel;Asia;
0;0;Italy;Europe;
0;0;Japan;Asia;
0;0;Kuwait;Asia;
0;0;Lebanon;Asia;
0;0;Lithuania;Europe;
0;0;Luxembourg;Europe;
0;0;Malaysia;Asia;
0;0;Mexico;America;
0;0;Monaco;Europe;
0;0;Nepal;Asia;
0;0;Netherlands;Europe;
0;0;New Zealand;Oceania;
0;0;Nigeria;Africa;
0;0;North Macedonia;Europe;
0;0;Norway;Europe;
0;0;Oman;Asia;
0;0;Pakistan;Asia;
0;0;Philippines;Asia;
0;0;Qatar;Asia;
0;0;Romania;Europe;
0;0;Russia;Europe;
0;0;San Marino;Europe;
0;0;Singapore;Asia;
0;0;South Korea;Asia;
0;0;Spain;Europe;
0;0;Sri Lanka;Asia;
0;0;Sweden;Europe;
0;0;Switzerland;Europe;
0;0;Taiwan;Asia;
0;0;Thailand;Asia;
0;0;United Arab Emirates;Asia;
0;0;United Kingdom;Europe;
0;0;United States of America;America;
0;0;Vietnam;Asia;
0;0;Afghanistan;Asia;0
0;0;Algeria;Africa;0
0;0;Armenia;Europe;0
0;0;Australia;Oceania;0
0;0;Austria;Europe;0
0;0;Azerbaijan;Europe;0
0;0;Bahrain;Asia;0
0;0;Belarus;Europe;0
0;0;Belgium;Europe;1.06498885
0;0;Brazil;America;0
0;0;Cambodia;Asia;0
0;0;Canada;America;0
0;0;Japan;Other;
0;0;China;Asia;0.00411499
0;0;Croatia;Europe;0
0;0;Czechia;Europe;0
0;0;Denmark;Europe;0
0;0;Dominican Republic;America;0
0;0;Ecuador;America;0
0;0;Egypt;Africa;0
0;0;Estonia;Europe;0
0;0;Finland;Europe;0
0;0;France;Europe;0
0;0;Georgia;Europe;0
0;0;Germany;Europe;0
0;0;Greece;Europe;0
0;0;Iceland;Europe;0
0;0;India;Asia;0
0;0;Indonesia;Asia;0
0;0;Iran;Asia;0
0;0;Iraq;Asia;0
0;0;Ireland;Europe;0
0;0;Israel;Asia;0
0;0;Italy;Europe;0
0;0;Japan;Asia;0
0;0;Kuwait;Asia;0
0;0;Lebanon;Asia;0
0;0;Lithuania;Europe;0
0;0;Luxembourg;Europe;0
0;0;Malaysia;Asia;0
0;0;Mexico;America;0
0;0;Monaco;Europe;0
0;0;Nepal;Asia;0
0;0;Netherlands;Europe;0
0;0;New Zealand;Oceania;0
0;0;Nigeria;Africa;0
0;0;North Macedonia;Europe;0
0;0;Norway;Europe;0
0;0;Oman;Asia;0
0;0;Pakistan;Asia;0
0;0;Philippines;Asia;0
0;0;Qatar;Asia;0
0;0;Romania;Europe;0
0;0;Russia;Europe;0
0;0;San Marino;Europe;0
0;0;Singapore;Asia;0
0;0;South Korea;Asia;0
0;0;Spain;Europe;0
0;0;Sri Lanka;Asia;0
0;0;Sweden;Europe;0
0;0;Switzerland;Europe;0
0;0;Taiwan;Asia;0
1;0;Thailand;Asia;0.00143625
0;0;United Arab Emirates;Asia;0
0;0;United Kingdom;Europe;0
0;0;United States of America;America;0
0;0;Vietnam;Asia;0
0;0;Afghanistan;Asia;0
0;0;Algeria;Africa;0
0;0;Armenia;Europe;0
0;0;Australia;Oceania;0
0;0;Austria;Europe;0
0;0;Azerbaijan;Europe;0
0;0;Bahrain;Asia;0
0;0;Belarus;Europe;0
0;0;Belgium;Europe;0
0;0;Brazil;America;0
0;0;Cambodia;Asia;0
0;0;Canada;America;0
0;0;Japan;Other;
0;0;China;Asia;0.00223186
0;0;Croatia;Europe;0
0;0;Czechia;Europe;0
0;0;Denmark;Europe;0
0;0;Dominican Republic;America;0
0;0;Ecuador;America;0
0;0;Egypt;Africa;0
0;0;Estonia;Europe;0
0;0;Finland;Europe;0
0;0;France;Europe;0
0;0;Georgia;Europe;0
0;0;Germany;Europe;0
0;0;Greece;Europe;0
0;0;Iceland;Europe;0
0;0;India;Asia;0
0;0;Indonesia;Asia;0
0;0;Iran;Asia;0
0;0;Iraq;Asia;0
0;0;Ireland;Europe;0
0;0;Israel;Asia;0
0;0;Italy;Europe;0
0;0;Japan;Asia;0
0;0;Kuwait;Asia;0
0;0;Lebanon;Asia;0
0;0;Lithuania;Europe;0
0;0;Luxembourg;Europe;0
0;0;Malaysia;Asia;0
1;0;Mexico;America;0.00078385
0;0;Monaco;Europe;0
0;0;Nepal;Asia;0
0;0;Netherlands;Europe;0
0;0;New Zealand;Oceania;0
0;0;Nigeria;Africa;0
0;0;North Macedonia;Europe;0
0;0;Norway;Europe;0
0;0;Oman;Asia;0
0;0;Pakistan;Asia;0
0;0;Philippines;Asia;0
0;0;Qatar;Asia;0
0;0;Romania;Europe;0
0;0;Russia;Europe;0
0;0;San Marino;Europe;0
0;0;Singapore;Asia;0
0;0;South Korea;Asia;0
0;0;Spain;Europe;0
0;0;Sri Lanka;Asia;0
0;0;Sweden;Europe;0
0;0;Switzerland;Europe;0
0;0;Taiwan;Asia;0
0;0;Thailand;Asia;0.00143625
0;0;United Arab Emirates;Asia;0
0;0;United Kingdom;Europe;0
0;0;United States of America;America;0
0;0;Vietnam;Asia;0
0;0;Afghanistan;Asia;0
0;0;Algeria;Africa;0
0;0;Armenia;Europe;0
0;0;Australia;Oceania;0
0;0;Austria;Europe;0
0;0;Azerbaijan;Europe;0
0;0;Bahrain;Asia;0
0;0;Belarus;Europe;0
0;0;Belgium;Europe;0
0;0;Brazil;America;0
0;0;Cambodia;Asia;0
0;0;Canada;America;0
0;0;Japan;Other;
0;1;China;Asia;0.00223186
0;0;Croatia;Europe;0
0;0;Czechia;Europe;0
0;0;Denmark;Europe;0
0;0;Dominican Republic;America;0
0;0;Ecuador;America;0
0;0;Egypt;Africa;0
0;0;Estonia;Europe;0
0;0;Finland;Europe;0
0;0;France;Europe;0
0;0;Georgia;Europe;0
0;0;Germany;Europe;0
0;0;Greece;Europe;0
0;0;Algeria;Africa;
0;0;Iceland;Europe;0
0;0;India;Asia;0
0;0;Indonesia;Asia;0
0;0;Iran;Asia;0
0;0;Iraq;Asia;0
0;0;Ireland;Europe;0
0;0;Israel;Asia;0
0;0;Italy;Europe;0
1;0;Japan;Asia;0.00078827
0;0;Kuwait;Asia;0
0;0;Lebanon;Asia;0
0;0;Lithuania;Europe;0
